dataset_id,control_prob,treat_prob
825,0.5665,0.4335
826,0.554875,0.445125
827,0.37425,0.62575
828,0.25575,0.74425
829,0.769875,0.230125
830,0.341625,0.658375
831,0.15475,0.84525
832,0.834375,0.165625
833,0.08175,0.91825
834,0.047125,0.952875
835,0.6175,0.3825
836,0.271,0.729
837,0.72875,0.27125
838,0.367,0.633
839,0.658375,0.341625
840,0.45225,0.54775
841,0.819375,0.180625
842,0.8685,0.1315
843,0.888,0.112
844,0.0335,0.9665
845,0.4235,0.5765
846,0.2245,0.7755
847,0.947625,0.052375
848,0.521125,0.478875
849,0.59225,0.40775
850,0.884875,0.115125
851,0.80225,0.19775
852,0.24125,0.75875
853,0.6305,0.3695
854,0.575,0.425
855,0.681375,0.318625
856,0.9415,0.0585
857,0.069375,0.930625
858,0.260875,0.739125
859,0.526,0.474
860,0.565625,0.434375
861,0.81225,0.18775
862,0.112625,0.887375
863,0.471,0.529
864,0.258375,0.741625
865,0.446,0.554
866,0.6255,0.3745
867,0.558875,0.441125
868,0.678875,0.321125
869,0.29425,0.70575
870,0.433125,0.566875
871,0.717,0.283
872,0.601875,0.398125
873,0.8215,0.1785
874,0.711625,0.288375
875,0.488625,0.511375
876,0.775,0.225
877,0.382,0.618
878,0.50175,0.49825
879,0.081625,0.918375
880,0.636625,0.363375
881,0.49975,0.50025
882,0.692125,0.307875
883,0.66975,0.33025
884,0.727,0.273
885,0.829875,0.170125
886,0.4555,0.5445
887,0.2215,0.7785
888,0.74325,0.25675
889,0.670375,0.329625
890,0.7855,0.2145
891,0.9625,0.0375
892,0.1365,0.8635
893,0.76725,0.23275
894,0.63125,0.36875
895,0.429,0.571
896,0.555375,0.444625
897,0.34975,0.65025
898,0.051125,0.948875
899,0.294,0.706
900,0.583125,0.416875
901,0.58075,0.41925
902,0.776875,0.223125
903,0.509875,0.490125
904,0.78625,0.21375
905,0.569,0.431
906,0.250625,0.749375
907,0.773625,0.226375
908,0.5445,0.4555
909,0.8455,0.1545
910,0.5555,0.4445
911,0.676875,0.323125
912,0.68175,0.31825
913,0.596625,0.403375
914,0.26975,0.73025
915,0.626375,0.373625
916,0.61075,0.38925
917,0.53725,0.46275
918,0.775125,0.224875
919,0.37525,0.62475
920,0.698375,0.301625
921,0.2305,0.7695
922,0.3675,0.6325
923,0.2175,0.7825
924,0.46775,0.53225
925,0.57875,0.42125
926,0.4685,0.5315
927,0.454375,0.545625
928,0.222125,0.777875
929,0.5935,0.4065
930,0.248875,0.751125
931,0.337375,0.662625
932,0.8645,0.1355
933,0.769,0.231
934,0.8405,0.1595
935,0.681625,0.318375
936,0.24375,0.75625
937,0.513,0.487
938,0.885625,0.114375
939,0.290625,0.709375
940,0.1575,0.8425
941,0.179,0.821
942,0.566875,0.433125
943,0.46525,0.53475
944,0.9165,0.0835
945,0.652,0.348
946,0.891125,0.108875
947,0.171625,0.828375
948,0.490875,0.509125
949,0.63825,0.36175
950,0.623625,0.376375
951,0.8335,0.1665
952,0.699625,0.300375
953,0.46075,0.53925
954,0.61725,0.38275
955,0.860375,0.139625
956,0.582125,0.417875
957,0.78375,0.21625
958,0.35,0.65
959,0.420125,0.579875
960,0.537625,0.462375
961,0.58425,0.41575
962,0.467125,0.532875
963,0.260375,0.739625
964,0.434,0.566
965,0.384875,0.615125
966,0.837,0.163
967,0.43275,0.56725
968,0.268375,0.731625
969,0.612875,0.387125
970,0.926875,0.073125
971,0.9155,0.0845
972,0.482625,0.517375
973,0.806625,0.193375
974,0.674375,0.325625
975,0.74675,0.25325
976,0.842625,0.157375
977,0.10425,0.89575
978,0.57275,0.42725
979,0.607125,0.392875
980,0.83875,0.16125
981,0.715625,0.284375
982,0.184125,0.815875
983,0.717125,0.282875
984,0.844,0.156
985,0.44775,0.55225
986,0.2295,0.7705
987,0.922625,0.077375
988,0.98725,0.01275
989,0.9725,0.0275
990,0.497375,0.502625
991,0.71125,0.28875
992,0.137375,0.862625
993,0.906125,0.093875
994,0.175625,0.824375
995,0.3995,0.6005
996,0.837875,0.162125
997,0.43675,0.56325
998,0.31925,0.68075
999,0.559,0.441
1000,0.10525,0.89475
1001,0.863375,0.136625
1002,0.710625,0.289375
1003,0.484,0.516
1004,0.773875,0.226125
1005,0.677875,0.322125
1006,0.4305,0.5695
1007,0.54925,0.45075
1008,0.9285,0.0715
1009,0.555125,0.444875
1010,0.86025,0.13975
1011,0.9555,0.0445
1012,0.607875,0.392125
1013,0.883875,0.116125
1014,0.24525,0.75475
1015,0.356375,0.643625
1016,0.65925,0.34075
1017,0.215125,0.784875
1018,0.184,0.816
1019,0.181375,0.818625
1020,0.963375,0.036625
1021,0.875875,0.124125
1022,0.885125,0.114875
1023,0.3115,0.6885
1024,0.79875,0.20125
1025,0.61775,0.38225
1026,0.98675,0.01325
1027,0.809625,0.190375
1028,0.929625,0.070375
1029,0.688,0.312
1030,0.546125,0.453875
1031,0.40075,0.59925
1032,0.7885,0.2115
1033,0.5985,0.4015
1034,0.38775,0.61225
1035,0.664375,0.335625
1036,0.422125,0.577875
1037,0.322125,0.677875
1038,0.45025,0.54975
1039,0.66325,0.33675
1040,0.562625,0.437375
1041,0.637375,0.362625
1042,0.6005,0.3995
1043,0.450875,0.549125
1044,0.593375,0.406625
1045,0.4865,0.5135
1046,0.616,0.384
1047,0.702625,0.297375
1048,0.6175,0.3825
1049,0.30975,0.69025
1050,0.4245,0.5755
1051,0.500125,0.499875
1052,0.429,0.571
1053,0.61475,0.38525
1054,0.076375,0.923625
1055,0.155875,0.844125
1056,0.905375,0.094625
1057,0.619,0.381
1058,0.219375,0.780625
1059,0.072,0.928
1060,0.172875,0.827125
1061,0.639625,0.360375
1062,0.255625,0.744375
1063,0.762,0.238
1064,0.98075,0.01925
1065,0.144625,0.855375
1066,0.109375,0.890625
1067,0.34375,0.65625
1068,0.538625,0.461375
1069,0.528375,0.471625
1070,0.868375,0.131625
1071,0.923875,0.076125
1072,0.18225,0.81775
1073,0.20825,0.79175
1074,0.40125,0.59875
1075,0.571,0.429
1076,0.36425,0.63575
1077,0.124,0.876
1078,0.160625,0.839375
1079,0.084875,0.915125
1080,0.435375,0.564625
1081,0.22475,0.77525
1082,0.748625,0.251375
1083,0.50425,0.49575
1084,0.627,0.373
1085,0.91125,0.08875
1086,0.187875,0.812125
1087,0.61525,0.38475
1088,0.338625,0.661375
1089,0.85825,0.14175
1090,0.726,0.274
1091,0.419125,0.580875
1092,0.355875,0.644125
1093,0.5285,0.4715
1094,0.160375,0.839625
1095,0.850125,0.149875
1096,0.738875,0.261125
1097,0.362,0.638
1098,0.079125,0.920875
1099,0.40525,0.59475
1100,0.436875,0.563125
1101,0.36675,0.63325
1102,0.511125,0.488875
1103,0.281875,0.718125
1104,0.18875,0.81125
1105,0.144375,0.855625
1106,0.51075,0.48925
1107,0.815,0.185
1108,0.34475,0.65525
1109,0.54325,0.45675
1110,0.229,0.771
1111,0.898625,0.101375
1112,0.602125,0.397875
1113,0.10125,0.89875
1114,0.2905,0.7095
1115,0.399,0.601
1116,0.628,0.372
1117,0.879625,0.120375
1118,0.31825,0.68175
1119,0.481,0.519
1120,0.30775,0.69225
1121,0.20275,0.79725
1122,0.187375,0.812625
1123,0.614625,0.385375
1124,0.32425,0.67575
1125,0.177875,0.822125
1126,0.34925,0.65075
1127,0.331625,0.668375
1128,0.080125,0.919875
1129,0.152625,0.847375
1130,0.45675,0.54325
1131,0.249375,0.750625
1132,0.462,0.538
1133,0.470625,0.529375
1134,0.940375,0.059625
1135,0.365,0.635
1136,0.753375,0.246625
1137,0.888125,0.111875
1138,0.18725,0.81275
1139,0.31675,0.68325
1140,0.161375,0.838625
1141,0.390875,0.609125
1142,0.74675,0.25325
1143,0.345,0.655
1144,0.128,0.872
1145,0.714375,0.285625
1146,0.332625,0.667375
1147,0.79875,0.20125
1148,0.044875,0.955125
1149,0.54675,0.45325
1150,0.5785,0.4215
1151,0.6035,0.3965
1152,0.34725,0.65275
1153,0.218625,0.781375
1154,0.055625,0.944375
1155,0.160125,0.839875
1156,0.57225,0.42775
1157,0.5265,0.4735
1158,0.602375,0.397625
1159,0.23025,0.76975
1160,0.12575,0.87425
1161,0.590625,0.409375
1162,0.32875,0.67125
1163,0.675875,0.324125
1164,0.980875,0.019125
1165,0.897375,0.102625
1166,0.92925,0.07075
1167,0.9185,0.0815
1168,0.194125,0.805875
1169,0.672,0.328
1170,0.591875,0.408125
1171,0.913125,0.086875
1172,0.650625,0.349375
